Docket No,ATM ID,Model,Alias ATM ID,ATM Type,Call Date with Time,Sub Call Type,Completion Date,ATM Down,Diagnosis,Action Taken,Issue Categories
170123/10,AMKATM69,DN 100D,SKNSKN-A001,ATM,1/17/2023 8:20,Cash Rejected and Torn,1/17/2023 11:34,No,Torn note 100$,"User : Seth Date  : Jan 17 2023  1:56PM
Action :  ;

User : Chean Sovanarath Date  : Jan 17 2023 12:04PM
Action : -print counter, checked all devices ok
-power off ATM
-Check picker slot2( 100$ ) feed wheel stripper wheel take away Ok
-adjust size cassette 100$
-power on ATM checked and tested all devices Ok
-Bank do many transaction successfully
-Now ATM working as normal
;

User : Seth Date  : Jan 17 2023  8:25AM
Action : Torn note 100$;

",Dispenser
170123/11,AMKATM63,DN 100D,SHVSHV-A001,ATM,1/17/2023 9:06,Application Error,1/17/2023 11:30,No,ATM always error application(blue screen),"User : Seth Date  : Jan 17 2023  1:57PM
Action :  ;

User : Chean Sovanarath Date  : Jan 17 2023 12:01PM
Action : _Go to drive C , Backup folder Journal, IP configuration , Computer name completed.
_Go to drive D ,Backup folder Image to safe place done .
_Power off and prepare install new HDD (S/N 20515U800642) successfully.
Old HDD (S/N 20515U800524)
_Power on ATM and backup all configuration and folder to the right position completed.
_Bank load cash and perform tested transaction completed
_Now ATM is has been changed new HDD .
;

User : Seth Date  : Jan 17 2023  9:08AM
Action : ATM always error application(blue screen);

",Software
200123/12,AMKATM26,DN 100D,ASNTAN2-A001,ATM,1/20/2023 8:45,Cash Rejected and Torn,1/20/2023 10:40,No,Issue Cash broken in reject box,"User : Seth Date  : Jan 20 2023 10:54AM
Action :  ;

User : Chean Sovanarath Date  : Jan 20 2023 10:50AM
Action : Power off machine 
Removed picker and check feed wheel, take away and belt to check
Replace feed wheel slot 4 (KHR 10K)
Put back feed wheel and picker and power on machine
Test and check device is ok
Customer test cash and test transaction are ok;

User : Seth Date  : Jan 20 2023  8:48AM
Action : Issue Cash broken in reject box;

",Dispenser
230123/13,AMKATM71,DN 100D,SRPNMK-A001,ATM,1/23/2023 13:56,Connection Error,1/26/2023 10:55,Yes,Disconnect all Device,"User : Seth Date  : Jan 26 2023  4:15PM
Action :  ;

User : Deam1 Date  : Jan 26 2023  4:09PM
Action : have 
changed a new PC
reboot win10, done
recovery new image, done
set communications of dispenser, done
reconfigure the setting as IP, EJ, image capture, done 
update probase C SP SIU 1.0.23.1, done
Update probase C SystemCtrlInt SCI 1.0.37.2, done
Load TMK successfully
Mapping camera positions and still Error after restarted then checked on both camera was too hot.
changed both new cameras
Cannot test card then checked on cardreader
changed a new CardReader ;

User : Deam1 Date  : Jan 26 2023  4:07PM
Action : have 
_changed a new PC
_reboot win10, done
_recovery new image, done
_set communications of dispenser, done
_reconfigure the setting as IP, EJ, image capture, done 
_update probase C SP SIU 1.0.23.1, done
_Update probase C SystemCtrlInt SCI 1.0.37.2, done
_Load TMK successfully
_Mapping camera positions and still Error after restarted then checked on both camera was too hot.
_changed both new cameras
_Cannot test card then checked on cardreader( hardwear Erorr)
_changed a new CardReader;

User : Seth Date  : Jan 26 2023  4:05PM
Action : have 
_changed a new PC
_reboot win10, done
_recovery new image, done
_set communications of dispenser, done
_reconfigure the setting as IP, EJ, image capture, done 
_update probase C SP SIU 1.0.23.1, done
_Update probase C SystemCtrlInt SCI 1.0.37.2, done
_Load TMK successfully
_Mapping camera positions and still Error after restarted then checked on both camera was too hot.
_changed both new cameras
_Cannot test card then checked on cardreader( hardwear Erorr)
_changed a new CardReader ;

User : Seth Date  : Jan 26 2023  4:03PM
Action : have 
_changed a new PC
_ re-boot win10, done
_ recovery new image, done
_ set communications of dispenser, done
_ re-configure the setting as IP, EJ, image capture, done 
_ update probase C SP SIU 1.0.23.1, done
_ Update probase C SystemCtrlInt SCI 1.0.37.2, done
_ Load TMK successfully
_ Mapping camera positions and still Error after restarted then checked on both camera was too hot.
_ changed both new cameras
_ Cannot test card then checked on cardreader( hardwear Erorr)
_ changed a new Card;

User : Seth Date  : Jan 26 2023  4:01PM
Action : have 
+ changed a new PC
+ re-boot win10, done
+ recovery new image, done
+ set communications of dispenser, done
+ re-configure the setting as IP, EJ, image capture, done 
+ update probase C SP SIU 1.0.23.1, done
+ Update probase C SystemCtrlInt SCI 1.0.37.2, done
+ Load TMK successfully
+ Mapping camera positions and still Error after restarted then checked on both camera was too hot.
+ changed both new cameras
+ Cannot test card then checked on cardreader( hardwear Erorr)
+ changed a new Card;

User : Chean Sovanarath Date  : Jan 26 2023  3:54PM
Action : + Restore image 
+ re-configure the setting as IP, EJ, image capture, done 
+ Load TMK done 
+ Mapping camera positions and still Error after restarted then checked on both camera was too hot.
+ changed both new cameras
+ Cannot test card then checked on card reader( hardware Error)
+ changed a new Card Reade 
+ checked device, ok
+ bank load cash and tested transaction, done.
+ Now, ATM is working normal.
Note: 
SN / Card Reader : New: 00G9110108
 Old : 00G0035094
SN / PC : New: 59JBM05923;

User : Chean Sovanarath Date  : Jan 26 2023  3:51PM
Action : + Restore image 
+ re-configure the setting as IP, EJ, image capture, done 
+ Load TMK done 
+ Mapping camera positions and still Error after restarted then checked on both camera was too hot.
+ changed both new cameras
+ Cannot test card then checked on card reader( hardware Error)
+ changed a new Card",Other
030223/2,AMKATM53,DN 100D,ASNTAN1-A001,ATM,2/3/2023 10:27,Error Cassette,2/3/2023 12:12,No,Error cassette3 (10000KHR),"User : Seth Date  : Feb  3 2023  2:18PM
Action : check all devices ATM status error pick failure detected from cassettes.
Shutdown ATM and check dispenser.
Check all slots cassette and check feed wheel,take away wheel, stripper wheel.
Feed wheel and stripper wheel slot 3 , slot 4 is spoiled
Removed out old device feed wheel and stripper wheel from slot 3, slot4.
Replace new feed wheel and stripper wheel.
Power on ATM and tested all devices status are ok.
Bank loaded and tested transaction many times successfully.;

User : Nao Bunseang Date  : Feb  3 2023 12:16PM
Action : check all devices ATM status error pick failure detected from cassettes.
-Shutdown ATM and check dispenser.
-Check all slots cassette and check feed wheel,take away wheel, stripper wheel.
-Feed wheel and stripper wheel slot 3 , slot 4 is spoiled
-Removed out old device feed wheel and stripper wheel from slot 3, slot4.
-Replace new feed wheel and stripper wheel.
-Power on ATM and tested all devices status are ok.
-Bank loaded and tested transaction many times successfully.
-Now ATM working as nor;

User : Nao Bunseang Date  : Feb  3 2023 12:09PM
Action : check all devices ATM status error pick failure detected from cassettes.
-Shutdown ATM and check dispenser.
-Check all slots cassette and check feed wheel,take away wheel, stripper wheel.
-Feed wheel and stripper wheel slot 3 , slot 4 is spoiled
-Removed out old device feed wheel and stripper wheel from slot 3, slot4.
-Replace new feed wheel and stripper wheel.
-Power on ATM and tested all devices status are ok.
-Bank loaded and tested transaction many times successfully.
-Now ATM working as nor;

User : Seth Date  : Feb  3 2023 11:38AM
Action : check all devices ATM status error pick failure detected from cassettes.
Shutdown ATM and check dispenser.
Check all slots cassette and check feed wheel,take away wheel, stripper wheel.
Feed wheel and stripper wheel slot 3 , slot 4 is spoiled
Removed out old device feed wheel and stripper wheel from slot 3, slot4.
Replace new feed wheel and stripper wheel.
Power on ATM and tested all devices status are ok.
Bank loaded and tested transaction many times successfully.
Now ATM working as normal;

User : Seth Date  : Feb  3 2023 11:37AM
Action : check all devices ATM status error pick failure detected from cassettes.
-Shutdown ATM and check dispenser.
-Check all slots cassette and check feed wheel,take away wheel, stripper wheel.
-Feed wheel and stripper wheel slot 3 , slot 4 is spoiled
-Removed out old device feed wheel and stripper wheel from slot 3, slot4.
-Replace new feed wheel and stripper wheel.
-Power on ATM and tested all devices status are ok.
-Bank loaded and tested transaction many times successfully.
-Now ATM working as nor;

User : Seth Date  : Feb  3 2023 10:30AM
Action : Error cassette3 (10000KHR);

",Dispenser
140223/7,CCM1280015,DC365,CCM1280015,DC365,2/14/2023 8:45,Error amount,3/28/2023 14:00,No,Hight reject rate on deno 5K Khr,"User : Seth Date  : Mar 29 2023  4:32PM
Action : update new image firmware 388718605;

User : Seth Date  : Feb 14 2023  8:50AM
Action : Total USD amount mismatch between machine and DCT (Under Denomination section);

",Other
140223/8,CCM1280012,DC365,CCM1280012,DC365,2/14/2023 8:59,Stuck Screen,3/14/2023 15:00,No,"When user scan QR on machine, there is only beep sound alert, but no success login such as depositor user and admin user (there is no error message alert). Also, no error as well when user open cover front or back cover)","User : Seth Date  : Mar 29 2023  4:34PM
Action : New apk solve this problem;

User : Seth Date  : Feb 14 2023  9:00AM
Action : When user scan QR on machine, there is only beep sound alert, but no success login such as depositor user and admin user (there is no error message alert). Also, no error as well when user open cover front or back cover);

",Software
140223/9,CCM1280020,DC365,CCM1280020,DC365,2/14/2023 9:03,Error amount,5/22/2023 9:49,No,Not accept new Deno,"User : Botin Date  : May 27 2023  9:49AM
Action : Update image firmware and configuration;

User : Seth Date  : Feb 14 2023  9:05AM
Action : User Deposit old version 1000 KHR (2012), machine accept but detect to 2000 KHR;",Other
140223/10,AMKATM69,DN 100D,SKNSKN-A001,ATM,2/14/2023 9:56,Application Error,2/14/2023 11:50,Yes,Application hang,"User : Seth Date  : Feb 14 2023  2:37PM
Action :  ;

User : Chhom Vannak Date  : Feb 14 2023  2:16PM
Action : - Print counter, Check all devices status Ok but application not working 
- Power off ATM,  Check FIL , Power supply, PC, are Ok
- ATM was extremely hot due to direct sunlight, and The A/C not working
- Power on ATM , Checked and tested all devices Ok
- Bank tested many transaction successfully
- Now ATM working normal.;

User : Chhom Vannak Date  : Feb 14 2023  2:16PM
Action : - Print counter, Check all devices status Ok but application not working 
- Power off ATM,  Check FIL , Power supply, PC, are Ok
- ATM was extremely hot due to direct sunlight, and The A/C not working
- Power on ATM , Checked and tested all devices Ok
- Bank tested many transaction successfully
- Now ATM working normal.;

User : Seth Date  : Feb 14 2023  9:58AM
Action : application hag;

",Software
200223/17,AMKATM55,DN 100D,TAKTAK-A001,ATM,2/20/2023 9:29,Cash Rejected and Torn,2/20/2023 16:57,No,ATM error reject note in reject box 50K,"User : Botin Date  : Feb 20 2023  8:49PM
Action :  ;

User : Chean Sovanarath Date  : Feb 20 2023  5:06PM
Action : -Checked devices in TSOP are ok.
-shutdown ATM checked dispenser found feed wheel, stripper wheel, take-way wheel in picker 4 (50K) are 
spoils and pelt is broken.
-Replace new feed wheel, stripper wheel, take-way wheel and pelt.
-Start up ATM checked, tested, reset devices status are ok.
-Perform bank load new cash and test transaction is successful.;

User : Seth Date  : Feb 20 2023  9:32AM
Action : ATM error reject note in reject box 50K;

",Dispenser
200223/19,AMKATM59,PC 280,PNPCKM-A001,ATM,2/20/2023 15:56,Shutter Error,2/20/2023 16:30,No,shutter error,"User : Botin Date  : Feb 20 2023  8:49PM
Action :  ;

User : Chean Sovanarath Date  : Feb 20 2023  4:55PM
Action : .Checked devices dipenser error. 
.Shutdown ATM removed shutter out to cleaned sensor shutter
.Power on ATM reset devices and check all devices are ok
.Bank test cash completed
.Now ATM is working normal;

User : Seth Date  : Feb 20 2023  4:00PM
Action : Shutter error;

",Dispenser
020323/11,AMKATM55,DN 100D,TAKTAK-A001,ATM,3/2/2023 15:33,Cash Rejected and Torn,3/2/2023 15:48,No,ATM got torn note,"User : Srey Khuoch Date  : Mar  2 2023  3:49PM
Action :  ;

User : Deam1 Date  : Mar  2 2023  3:46PM
Action : complete testing;

User : Srey Khuoch Date  : Mar  2 2023  3:45PM
Action : ATM got torn note;

",Dispenser
020323/12,AMKATM31,DN 100D,MEMMEM-A001,ATM,3/2/2023 15:53,Camera Error,3/2/2023 15:58,No,Camera error,"User : Srey Khuoch Date  : Mar  2 2023  3:58PM
Action :   ;

User : Deam1 Date  : Mar  2 2023  3:57PM
Action : complete testing;

User : Srey Khuoch Date  : Mar  2 2023  3:56PM
Action : Camera error;

",Camera
030323/13,AMKATM53,DN 100D,ASNTAN1-A001,ATM,3/3/2023 8:58,Picker Error,3/3/2023 12:00,No,error picker three,"User : Seth Date  : Mar  6 2023 11:03AM
Action : -Checked and tested device found ATM got error picker three. 
-shutdown machine ATM and checked picker three found take away wheel feed wheel spoil . 
-Replace feed wheel and take away to picker three completed . 
-Power On ATM ,Checked and tested device are ok. 
-Bank load cash and performed transaction completed. 
-Now atm is working as normal .;

User : Srey Khuoch Date  : Mar  3 2023  9:02AM
Action : error picker three;

",Dispenser
060323/15,AMKATM28,DN 100D,PNPPDK-A001,ATM,3/6/2023 9:09,Camera Error,3/6/2023 10:05,No,Camera error,"User : Srey Khuoch Date  : Mar  6 2023  2:00PM
Action :  ;

User : Nao Bunseang Date  : Mar  6 2023 12:08PM
Action : + check device
+ plug in crypta
+ cleared camera positions
+ mapping camera positions
+ checked device ok
+ restart AMk
+ tested transaction, and camera records again
+ Now, ATM is working normal.;

User : Seth Date  : Mar  6 2023  9:11AM
Action : camera error;

",Camera
100323/25,AMKATM55,DN 100D,TAKTAK-A001,ATM,3/10/2023 8:48,Cash Rejected and Torn,3/10/2023 9:50,No,error got a lot of reject,"User : Seth Date  : Mar 22 2023  8:23AM
Action : complete;

User : Sokheng Date  : Mar 10 2023 10:14AM
Action : ATM error got a lot of reject;

User : Chean Sovanarath Date  : Mar 10 2023  9:35AM
Action : ATM error got a lot of reject ;

User : Srey Khuoch Date  : Mar 10 2023  9:05AM
Action : error got a lot of reject;

",Dispenser
100323/26,AMKATM69,DN 100D,SKNSKN-A001,ATM,3/10/2023 9:08,Show Black Screen,3/10/2023 16:00,Yes,error device disconnect and Black screen,"User : Seth Date  : Mar 12 2023 10:12PM
Action : -Checked and tested device found some device disconnected and saw black screen after close operation door .
-Power off ATM , Try to upluin USB but still not working  .
-Changed new FIL (S/N :68N0285619) Old FIL (S/N:59N0013189) completed.
-Changed new Power supply (S/N:59B0M10381) old Power supply (S/N:54B0N10054) with new cable from PC to FIL completed.
-Power on ATM Checked and tested device are OK.
-Bank load cash and perform transaction successfully. 
-Now ATM is working as normal.;

User : Rothana Date  : Mar 10 2023  4:49PM
Action : ATM got black screen;

User : Chean Sovanarath Date  : Mar 10 2023  9:36AM
Action : ATM error device disconnect and Black screen;

User : Srey Khuoch Date  : Mar 10 2023  9:20AM
Action : error device disconnect and Black screen;

",Software
120323/54,AMKDC01,DC365,PPT Chbar Obpov,DC365,3/12/2023 21:03,Cash stack,3/13/2023 10:00,Yes,Can not deposit,"User : Seth Date  : Mar 13 2023 11:55AM
Action : _Shutdown the machine
_check and clean roller
_perform testing
_customer perform transaction;

User : Seth Date  : Mar 12 2023  9:05PM
Action : Can not deposit;

",Dispenser
140323/66,AMKATM53,DN 100D,ASNTAN1-A001,ATM,3/14/2023 9:20,Error Cassette,3/14/2023 14:00,No,error slot 3,"User : Seth Date  : Mar 15 2023  2:27PM
Action : Shutdown machine and remove slot 3 out,
adjust take away and stoipper wheel holder,
tested put feed wheel, take away wheel, 
stoipper wheel and put cassette to test. all ok,
changed 1x feed wheel, 1x take away, 1x stoipper wheel,
Power on machine and tested all devices again. ok,;

User : Sovatdy Date  : Mar 14 2023 11:58AM
Action : to check ATM got so many reject note on slot 3;

User : Chean Sovanarath Date  : Mar 14 2023 11:20AM
Action : error slot 3;

User : Seth Date  : Mar 14 2023 11:20AM
Action : error slot 3;

User : Srey Khuoch Date  : Mar 14 2023  9:25AM
Action : error slot 3;

",Dispenser
140323/67,AMKATM26,DN 100D,ASNTAN2-A001,ATM,3/14/2023 9:25,Error Cassette,3/14/2023 12:00,No,many reject notes on slot 3,"User : Srey Khuoch Date  : Mar 14 2023  4:57PM
Action :  ;

User : Chean Sovanarath Date  : Mar 14 2023  3:33PM
Action : To check (got so many reject notes on slot 3)
Check all parts of the dispenser 
Change presenter belts 1 Feel wheel slot,Stripper wheel slot(2,3) 1x Take away wheel slot 3
Power ON machine and test all devices ok
Customer load cash and test transaction all ok
Now ATM is working normal.;

User : Sovatdy Date  : Mar 14 2023  2:49PM
Action : Error slot 3;

User : Deam1 Date  : Mar 14 2023  1:38PM
Action : assign;

User : Srey Khuoch Date  : Mar 14 2023  1:34PM
Action : many reject notes on slot 3;

User : Srey Khuoch Date  : Mar 14 2023  9:27AM
Action : many reject notes on slot 3;

",Dispenser
150323/76,AMKATM08,DN 100D,PNPPNP-A002,ATM,3/15/2023 9:52,Safe door,3/15/2023 11:00,No,Check combination Lock,"User : Srey Khuoch Date  : Mar 15 2023  2:14PM
Action :    ;

User : Rothana Date  : Mar 15 2023 11:09AM
Action : To checked combustion lock. Open safedoor and check on combination lock. Adjust site of lock pin and tested OK. Try to set combination password and tell branch to not set warning password. Password had set and Try to unlock many time.OK. now machine working normal.;

User : Rothana Date  : Mar 15 2023 11:00AM
Action : check combition lock;

User : Chean Sovanarath Date  : Mar 15 2023 10:02AM
Action : Check combination Lock.;

User : Srey Khuoch Date  : Mar 15 2023  9:57AM
Action : Check combination Lock;

",Door Issue
160323/81,AMKATM08,DN 100D,PNPPNP-A002,ATM,3/16/2023 8:41,Cash Rejected and Torn,3/16/2023 9:25,No,Torn note 100USD,"User : Seth Date  : Mar 16 2023 10:21AM
Action :  ;

User : Rothana Date  : Mar 16 2023  9:59AM
Action : checked and tested device OK. shutdown machine ATM and checked slot 2 (100usd) found striple wheel loose .changed new striple wheel to slot 2 completed. return cash back and tested cash many time no see torn note in reject box anymore.  now ATM is working as normal;

User : Rothana Date  : Mar 16 2023  9:26AM
Action : check torn note 100USD;

User : Chean Sovanarath Date  : Mar 16 2023  9:05AM
Action : Fix ATM torn in reject box.;

User : Seth Date  : Mar 16 2023  8:43AM
Action : torn note 100USD;

",Dispenser
200323/95,AMKATM44,DN 100D,OMCOMC-A001,ATM,3/20/2023 17:13,Safe door,3/21/2023 16:12,Yes,combination lock running not smooth,"User : Srey Khuoch Date  : Mar 21 2023  5:07PM
Action :   ;

User : Sothearith Date  : Mar 21 2023  4:33PM
Action : checked on Combination lock and tested many times found working not smooth removed out and checked again found combination still working not smooth changed new combination lock old combination lock sn 6651 017 and new combination lock sn 6651 017 now combination working as normal;

User : Sothearith Date  : Mar 21 2023  4:08PM
Action : combination lock running not smooth.;

User : Chean Sovanarath Date  : Mar 21 2023  8:54AM
Action : combination lock running not smooth;

User : Srey Khuoch Date  : Mar 20 2023  5:17PM
Action : combination lock running not smooth;

",Door Issue
220323/100,AMKATM70,DN 100D,PRHPRH-A001,ATM,3/22/2023 9:19,Card Jammed,3/22/2023 16:45,No,frequently got card jam,"User : Srey Khuoch Date  : Mar 22 2023  5:24PM
Action :   ;

User : Sothearith Date  : Mar 22 2023  5:02PM
Action : checked device and found card reader error then turn ATM off removed out card reader SNOOGO120377 and replaced new card reader SNOOG106218 then turn on ATM checked devices again status OK bank tested transaction many times working as normal;

User : Sothearith Date  : Mar 22 2023  4:42PM
Action : card reader error;

User : Chean Sovanarath Date  : Mar 22 2023 11:41AM
Action : ATM frequently got card jam;

User : Srey Khuoch Date  : Mar 22 2023  9:24AM
Action : frequently got card jam;

",Card reader
220323/101,AMKDC03,DC365,PTT Prek Phnov,DC365,3/22/2023 10:17,Safe door,3/22/2023 10:56,No,safe door,"User : Srey Khuoch Date  : Mar 22 2023 10:58AM
Action :   ;

User : SOY Date  : Mar 22 2023 10:56AM
Action : check safe door sensor now it work as normal;

User : SOY Date  : Mar 22 2023 10:54AM
Action : accept;

User : BTI_Botin Date  : Mar 22 2023 10:53AM
Action :    ;

User : Srey Khuoch Date  : Mar 22 2023 10:23AM
Action : safe door;

",Door Issue
220323/102,AMKATM43,DN 200V,PNPPNP-C001,CRM,3/22/2023 15:02,Card Reader Error,3/22/2023 16:08,Yes,error card reader,"User : Srey Khuoch Date  : Mar 22 2023  5:25PM
Action :   ;

User : Vannak Date  : Mar 22 2023  4:18PM
Action : Check devices card reader error, power off CRM and removed card reader to cleaned , return back device to the right position, tested card reader many times is ok,Now CRM is working Normal;

User : Vannak Date  : Mar 22 2023  3:53PM
Action : Check Card reader Error;

User : Than Rothana Date  : Mar 22 2023  3:09PM
Action : Card Reader Error;

User : Srey Khuoch Date  : Mar 22 2023  3:08PM
Action : error card reader;

",Card reader
240323/110,AMKATM26,DN 100D,ASNTAN2-A001,ATM,3/24/2023 8:27,Error Cassette,3/24/2023 10:02,Yes,Error Cassette slot 4,"User : Srey Khuoch Date  : Mar 24 2023 10:53AM
Action :  ;

User : Sovatdy Date  : Mar 24 2023 10:19AM
Action : To check ATM error cassttes 4. Check on slot 4 and check on Feed wheel take away wheel stripper wheel. Replace new Feed wheel take away and stripper wheel. Restart ATM and test cash for check. Okay. tested transaction on slot 4 many time. Now ATM is working normal.;

User : Sovatdy Date  : Mar 24 2023 10:00AM
Action : cassette 4 error;

User : Chean Sovanarath Date  : Mar 24 2023  8:39AM
Action : Error Cassette slot 4;

User : Seth Date  : Mar 24 2023  8:30AM
Action : Error cassette 3;

",Dispenser
240323/111,AMKATM28,DN 100D,PNPPDK-A001,ATM,3/24/2023 8:41,Connection Error,3/24/2023 9:45,Yes,Error device not connected,"User : Seth Date  : Mar 24 2023  9:57AM
Action :  ;

User : Rothana Date  : Mar 24 2023  9:49AM
Action : checked and tested found device disconnected. shutdown machine ATM and replaced new Power supply SN 54B0N22544 and old Power supply SN 54B0N10088 completed. Power on ATM Checked and tested device are OK.now ATM is working as normal;

User : Rothana Date  : Mar 24 2023  9:42AM
Action : check device alway disconnect;

User : Chean Sovanarath Date  : Mar 24 2023  8:47AM
Action : Error device not connected;

User : Seth Date  : Mar 24 2023  8:44AM
Action : Error device not connected;

",Other
270323/120,AMKDC02,DC365,PPT Prey Key,DC365,3/27/2023 9:48,error cant deposit,3/27/2023 10:30,Yes,error can not deposit,"User : Srey Khuoch Date  : Mar 27 2023 10:33AM
Action :    ;

User : Chanpiseth Date  : Mar 27 2023 10:30AM
Action : check and clean all sensor, let customer performance transaction. Now machine work as normal.;

User : Chanpiseth Date  : Mar 27 2023 10:15AM
Action : accept;

User : BTI_Botin Date  : Mar 27 2023 10:13AM
Action : error cant deposit;

User : BTI_Botin Date  : Mar 27 2023 10:13AM
Action : error cant deposit;

User : Srey Khuoch Date  : Mar 27 2023 10:05AM
Action : error can not deposit;

",Other
290323/125,AMKDC03,DC365,PTT Prek Phnov,DC365,3/29/2023 7:42,Safe door,3/29/2023 10:05,No,Change safe door sensor,"User : Srey Khuoch Date  : Mar 29 2023 10:11AM
Action :   ;

User : Chanpiseth Date  : Mar 29 2023 10:05AM
Action : change new sensor, testing deposit confirm.;

User : Chanpiseth Date  : Mar 29 2023  9:37AM
Action : accept;

User : BTI_Botin Date  : Mar 29 2023  7:47AM
Action : assign;

User : BTI_Botin Date  : Mar 29 2023  7:46AM
Action : Assign;

User : Seth Date  : Mar 29 2023  7:46AM
Action : change safe door sensor;

",Door Issue
290323/128,AMKATM53,DN 100D,ASNTAN1-A001,ATM,3/29/2023 14:49,Restore image firmware,3/29/2023 17:40,No,restore new image,"User : Srey Khuoch Date  : Mar 30 2023  8:58AM
Action :   ;

User : Srey Khuoch Date  : Mar 30 2023  8:58AM
Action :   ;

User : Rothana Date  : Mar 29 2023  5:59PM
Action : to restore image at tainan1.backup journal and iP address computer name to drive D completed. prepare restore image done .check and tested device are OK. operation perform loadcash and transaction completed. now ATM is working as normal.;

User : Rothana Date  : Mar 29 2023  5:39PM
Action : restore image;

User : Chean Sovanarath Date  : Mar 29 2023  4:54PM
Action : restore new image.;

User : Srey Khuoch Date  : Mar 29 2023  2:53PM
Action : restore new image;

",Software
040423/3,AMKATM43,DN 200V,PNPPNP-C001,CRM,4/4/2023 8:49,Error Cassette,4/4/2023 11:00,No,money messy in cassette deposit,"User : Srey Khuoch Date  : Apr  4 2023  4:20PM
Action :   ;

User : Rothana Date  : Apr  4 2023 11:33AM
Action : Check and tested device are OK.process run hot info (probase kit step by step ) at admin user completed.restart machine CRM and checked and tested device after done run hotinfor is working normal. Bank perform test transactions successfully. now CRM is working as normal;

User : Rothana Date  : Apr  4 2023 11:17AM
Action : money messy in cassette deposit;

User : Chean Sovanarath Date  : Apr  4 2023  8:56AM
Action : Fix money messy in cassette deposit;

User : Srey Khuoch Date  : Apr  4 2023  8:52AM
Action : money messy in cassette deposit;

",Dispenser
080423/7,AMKDC02,DC365,PPT Prey Key,DC365,4/8/2023 13:43,Cash stack,4/8/2023 16:00,Yes,Cash Stuck,"User : Srey Khuoch Date  : Apr 11 2023  4:21PM
Action :  ;

User : Chanpiseth Date  : Apr  8 2023  4:10PM
Action : cleaning the roller which have glue on it and clean some sensor;

User : Chanpiseth Date  : Apr  8 2023  3:49PM
Action : arrived site;

User : Soy Chanpiseth Date  : Apr  8 2023  1:48PM
Action : Assign;

User : Parinha Date  : Apr  8 2023  1:46PM
Action : Cash Stuck;

",Dispenser
110423/10,AMKATM53,DN 100D,ASNTAN1-A001,ATM,4/11/2023 8:36,Picker Error,4/11/2023 12:50,No,error picker,"User : Srey Khuoch Date  : Apr 11 2023  4:23PM
Action :  ;

User : Jack Date  : Apr 11 2023  1:28PM
Action : Check and test all devices ATM status error cassettes slot4, shutdown ATM and check hardware dispenser cassettes slot4 feed wheel and take away, stripper wheel are spoiled, and check timing belt is spoiled too, Changed new feed wheel, take away, stripper wheel and changed new timing belt, power on ATM and tested all devices ATM is ok, Bank load cash and tested transactions many times successfully, Now ATM working as normally.;

User : Jack Date  : Apr 11 2023 11:13AM
Action : Check ATM error picker;

User : Chean Sovanarath Date  : Apr 11 2023  9:05AM
Action : error picker;

User : Srey Khuoch Date  : Apr 11 2023  8:39AM
Action : error picker;

",Dispenser
110423/11,AMKATM26,DN 100D,ASNTAN2-A001,ATM,4/11/2023 8:39,Cash Rejected and Torn,4/11/2023 12:10,No,got many reject notes on slot 50K,"User : Srey Khuoch Date  : Apr 11 2023  4:23PM
Action :  ;

User : Sovatdy Date  : Apr 11 2023 12:20PM
Action : To check ATM got many reject at Tainan2. Check all device and check in slot 50K.Feed wheel and stripper wheel spoil. shutdown ATM and remove dispenser out. check on slot KHR 10K and 50K and changed 1xfeed wheel on slot 3 and 1xfeed wheel on slot 4. changed new stripper wheel on slot 3 and 4. Change new timing belt and adjust stripper wheel holder. Put dispenser back to machine and check all devices. OK . Customer return cash and loaded cash complete.  Tested transaction on 50K and another denomination. OK.  Now ATM is working normal.;

User : Sovatdy Date  : Apr 11 2023 11:20AM
Action : got many reject of slot 50K;

User : Chean Sovanarath Date  : Apr 11 2023  9:06AM
Action : got many reject notes on slot 50K;

User : Srey Khuoch Date  : Apr 11 2023  8:44AM
Action : got many reject notes on slot 50K;

",Dispenser
170423/12,AMKATM73,DN 200V,SNGSNG-C001,CRM,4/17/2023 11:15,Connection Error,4/17/2023 16:02,Yes,CRM error Input Output Unit,"User : Seth Date  : Apr 17 2023  5:10PM
Action :  ;

User : Jack Date  : Apr 17 2023  4:07PM
Action : Check CDM error Input output unit, Check and test, reset CDM status error jam in IO area, Shutdown CDM and removed out IO and checked all device, Cleaning all device and all sensors, Put back device and power on CDM, Check and test many time CDM still error, Shutdown again and changed new IO, S/N: New 7504429773, Old 7504852038, power on CDM and tested all devices status are OK, Bank tested transactions  many times successfully, Now CDM working as normally.;

User : Jack Date  : Apr 17 2023  3:41PM
Action : CDM error Input output unit;

User : Chean Sovanarath Date  : Apr 17 2023 11:29AM
Action : CRM error Input Output Unit;

User : Srey Khuoch Date  : Apr 17 2023 11:23AM
Action : CRM error Input Output Unit;

",Other
